#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN58687_c0_g1	.
TRINITY_DN58668_c0_g1	.
TRINITY_DN24102_c0_g1	CARA_PHANO^CARA_PHANO^Q:458-3,H:25-176^78.289%ID^E:5.12e-80^RecName: Full=Carbamoyl-phosphate synthase arginine-specific small chain;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Parastagonospora
TRINITY_DN24102_c0_g2	CARA_ASPOR^CARA_ASPOR^Q:494-18,H:280-438^77.987%ID^E:1.17e-90^RecName: Full=Carbamoyl-phosphate synthase arginine-specific small chain;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24183_c0_g1	.
TRINITY_DN24107_c0_g1	HXKG_ASPNG^HXKG_ASPNG^Q:1321-44,H:2-422^59.579%ID^E:1.69e-171^RecName: Full=Glucokinase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24107_c0_g3	HXKG_ASPNG^HXKG_ASPNG^Q:785-3,H:27-283^73.563%ID^E:2.43e-138^RecName: Full=Glucokinase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24107_c0_g4	.
TRINITY_DN24130_c0_g1	SDHF2_ASPFN^SDHF2_ASPFN^Q:14-391,H:16-145^41.045%ID^E:7.54e-23^RecName: Full=Succinate dehydrogenase assembly factor 2, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03057};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24171_c0_g2	THI41_VITVI^THI41_VITVI^Q:118-1131,H:1-337^83.09%ID^E:0^RecName: Full=Thiamine thiazole synthase 1, chloroplastic {ECO:0000255|HAMAP-Rule:MF_03158};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Vitis
TRINITY_DN24166_c0_g1	.
TRINITY_DN24166_c0_g2	.
TRINITY_DN24166_c0_g3	.
TRINITY_DN24166_c2_g1	.
TRINITY_DN24148_c1_g1	HOG1_ZYMTI^HOG1_ZYMTI^Q:870-385,H:189-350^91.975%ID^E:3.31e-95^RecName: Full=Mitogen-activated protein kinase Hog1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetidae; Capnodiales; Mycosphaerellaceae; Zymoseptoria
TRINITY_DN24148_c1_g6	HOG1_ALTBR^HOG1_ALTBR^Q:3-572,H:6-195^98.947%ID^E:1e-138^RecName: Full=Mitogen-activated protein kinase HOG1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria
TRINITY_DN24122_c0_g1	FSR2_GIBF5^FSR2_GIBF5^Q:230-406,H:190-251^48.387%ID^E:5.13e-10^RecName: Full=O-methyltransferase fsr2 {ECO:0000303|PubMed:22492438};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Nectriaceae; Fusarium; Fusarium fujikuroi species complex
TRINITY_DN24119_c0_g1	AOP1L_ARATH^AOP1L_ARATH^Q:40-954,H:13-321^42.492%ID^E:4.24e-84^RecName: Full=Probable 2-oxoglutarate-dependent dioxygenase AOP1.2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24132_c0_g1	POM33_CHATD^POM33_CHATD^Q:945-259,H:52-286^51.046%ID^E:3.8e-66^RecName: Full=Nucleoporin POM33 {ECO:0000303|PubMed:21784248};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Chaetomium
TRINITY_DN24181_c0_g1	.
TRINITY_DN24191_c1_g1	ODPA_SOLTU^ODPA_SOLTU^Q:198-1220,H:29-369^87.977%ID^E:0^RecName: Full=Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum
TRINITY_DN24165_c0_g1	DPNPH_ARATH^DPNPH_ARATH^Q:248-1366,H:9-373^66.043%ID^E:3.95e-172^RecName: Full=PAP-specific phosphatase HAL2-like;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24199_c0_g1	PST2_GOSHI^PST2_GOSHI^Q:3-257,H:5-91^57.303%ID^E:4.56e-11^RecName: Full=Photosystem II 5 kDa protein, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Malvales; Malvaceae; Malvoideae; Gossypium
TRINITY_DN24124_c0_g1	.
TRINITY_DN24124_c0_g2	.
TRINITY_DN24192_c1_g1	SUI1_ORYSJ^SUI1_ORYSJ^Q:197-535,H:1-115^93.913%ID^E:2.44e-72^RecName: Full=Protein translation factor SUI1 homolog;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN24113_c1_g2	NTF3_TOBAC^NTF3_TOBAC^Q:692-1291,H:1-200^95.5%ID^E:4.72e-125^RecName: Full=Mitogen-activated protein kinase homolog NTF3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN24121_c0_g1	.
TRINITY_DN24101_c0_g2	ERF1_PODAS^ERF1_PODAS^Q:402-1,H:3-136^92.537%ID^E:3.18e-87^RecName: Full=Eukaryotic peptide chain release factor subunit 1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Lasiosphaeriaceae; Podospora
TRINITY_DN24101_c0_g3	ERF1_PODAS^ERF1_PODAS^Q:1669-410,H:6-426^84.561%ID^E:0^RecName: Full=Eukaryotic peptide chain release factor subunit 1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Lasiosphaeriaceae; Podospora
TRINITY_DN24101_c0_g3	ERF1_PODAS^ERF1_PODAS^Q:1669-410,H:6-426^84.561%ID^E:0^RecName: Full=Eukaryotic peptide chain release factor subunit 1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Lasiosphaeriaceae; Podospora
TRINITY_DN24172_c0_g1	.
TRINITY_DN24188_c0_g1	.
TRINITY_DN24188_c0_g1	.
TRINITY_DN24190_c2_g1	EIF3C_PHANO^EIF3C_PHANO^Q:2-598,H:613-811^86.935%ID^E:4.89e-120^RecName: Full=Eukaryotic translation initiation factor 3 subunit C {ECO:0000255|HAMAP-Rule:MF_03002};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Parastagonospora
TRINITY_DN24190_c2_g2	EIF3C_PHANO^EIF3C_PHANO^Q:2-769,H:427-682^90.234%ID^E:6.61e-171^RecName: Full=Eukaryotic translation initiation factor 3 subunit C {ECO:0000255|HAMAP-Rule:MF_03002};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Parastagonospora
TRINITY_DN24190_c2_g3	EIF3C_PHANO^EIF3C_PHANO^Q:708-172,H:676-853^88.268%ID^E:6.27e-87^RecName: Full=Eukaryotic translation initiation factor 3 subunit C {ECO:0000255|HAMAP-Rule:MF_03002};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Parastagonospora
TRINITY_DN24190_c2_g5	EIF3C_PHANO^EIF3C_PHANO^Q:518-177,H:741-853^85.965%ID^E:2.11e-42^RecName: Full=Eukaryotic translation initiation factor 3 subunit C {ECO:0000255|HAMAP-Rule:MF_03002};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Parastagonospora
TRINITY_DN24190_c2_g6	.
TRINITY_DN24153_c0_g1	RL20B_YEAST^RL20B_YEAST^Q:215-63,H:122-172^60.784%ID^E:3.1e-15^RecName: Full=60S ribosomal protein L20-B {ECO:0000303|PubMed:9559554};^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN24196_c2_g1	.
TRINITY_DN24145_c0_g1	.
TRINITY_DN24145_c0_g2	.
TRINITY_DN24109_c0_g1	.
TRINITY_DN24141_c0_g1	EF1B_SCHPO^EF1B_SCHPO^Q:44-622,H:1-176^53.886%ID^E:4.17e-45^RecName: Full=Elongation factor 1-beta;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN24135_c0_g1	IVOB_EMENI^IVOB_EMENI^Q:208-2,H:24-92^43.478%ID^E:3.99e-13^RecName: Full=N-acetyl-6-hydroxytryptophan oxidase ivoB {ECO:0000303|PubMed:28108400};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24125_c0_g1	SODM_YEAST^SODM_YEAST^Q:680-81,H:21-228^56.731%ID^E:1.19e-80^RecName: Full=Superoxide dismutase [Mn], mitochondrial;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN24159_c0_g4	.
TRINITY_DN24179_c0_g1	ADH1_EMENI^ADH1_EMENI^Q:517-158,H:227-347^46.281%ID^E:1.28e-26^RecName: Full=Alcohol dehydrogenase 1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24137_c0_g1	SPEE_NEUCR^SPEE_NEUCR^Q:696-1,H:1-232^84.914%ID^E:6.62e-135^RecName: Full=Spermidine synthase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN24137_c0_g5	SPEE_NEUCR^SPEE_NEUCR^Q:464-3,H:1-154^85.065%ID^E:1.28e-79^RecName: Full=Spermidine synthase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN24151_c0_g1	.
TRINITY_DN24151_c0_g2	.
TRINITY_DN24133_c0_g1	.
TRINITY_DN24133_c0_g2	.
TRINITY_DN24142_c1_g1	VATE_NEUCR^VATE_NEUCR^Q:55-717,H:1-221^62.443%ID^E:1.57e-80^RecName: Full=V-type proton ATPase subunit E;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN10850_c0_g1	.
TRINITY_DN10853_c0_g1	.
TRINITY_DN10859_c0_g1	ARG56_NEUCR^ARG56_NEUCR^Q:482-3,H:442-580^48.125%ID^E:8.56e-41^RecName: Full=Protein arg-6, mitochondrial;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN10819_c0_g1	BCSA_ECO57^BCSA_ECO57^Q:309-563,H:250-330^32.941%ID^E:3.14e-08^RecName: Full=Cellulose synthase catalytic subunit [UDP-forming];^Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
TRINITY_DN10879_c0_g1	ASPG1_SCHPO^ASPG1_SCHPO^Q:144-1091,H:35-348^54.574%ID^E:3.28e-110^RecName: Full=Probable L-asparaginase 1;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN10823_c0_g1	OGT1_RAT^OGT1_RAT^Q:504-1,H:889-1030^37.059%ID^E:4.55e-26^RecName: Full=UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
TRINITY_DN22011_c0_g1	PYR1_EMENI^PYR1_EMENI^Q:14-244,H:1367-1443^74.026%ID^E:2.58e-32^RecName: Full=Protein pyrABCN;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN22082_c0_g2	ACAC_SCHPO^ACAC_SCHPO^Q:205-17,H:38-100^69.841%ID^E:7.08e-25^RecName: Full=Acetyl-CoA carboxylase;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN22069_c0_g1	.
TRINITY_DN22081_c0_g1	.
TRINITY_DN22004_c0_g1	.
TRINITY_DN22096_c0_g1	.
TRINITY_DN22008_c0_g1	RS19A_SCHPO^RS19A_SCHPO^Q:459-46,H:5-141^68.116%ID^E:4.45e-64^RecName: Full=40S ribosomal protein S19-A;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN22013_c1_g2	PP1_EMENI^PP1_EMENI^Q:220-2,H:1-73^94.521%ID^E:5.74e-39^RecName: Full=Serine/threonine-protein phosphatase PP1;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN22079_c0_g1	POR_DESAF^POR_DESAF^Q:26-322,H:241-338^39.394%ID^E:4.01e-15^RecName: Full=Pyruvate synthase {ECO:0000305};^Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
TRINITY_DN22057_c1_g1	RPN12_YEAST^RPN12_YEAST^Q:598-140,H:122-274^34.615%ID^E:3.42e-25^RecName: Full=26S proteasome regulatory subunit RPN12;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN22001_c0_g1	BLH4_ARATH^BLH4_ARATH^Q:374-616,H:6-66^40.964%ID^E:3.87e-07^RecName: Full=BEL1-like homeodomain protein 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN22010_c0_g1	AOX4_ARATH^AOX4_ARATH^Q:896-39,H:53-335^71.331%ID^E:3.91e-154^RecName: Full=Ubiquinol oxidase 4, chloroplastic/chromoplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN22062_c0_g1	ARN1_YEAST^ARN1_YEAST^Q:14-352,H:174-289^34.483%ID^E:8.29e-18^RecName: Full=Siderophore iron transporter ARN1;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN22075_c0_g1	XERIC_ARATH^XERIC_ARATH^Q:627-154,H:1-152^33.333%ID^E:1.91e-17^RecName: Full=Probable E3 ubiquitin-protein ligase XERICO;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN22059_c0_g1	YRKC_BACSU^YRKC_BACSU^Q:166-489,H:64-177^33.913%ID^E:9.2e-12^RecName: Full=Uncharacterized protein YrkC;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
TRINITY_DN22059_c0_g2	.
TRINITY_DN22000_c0_g1	.
TRINITY_DN37306_c0_g1	.
TRINITY_DN546_c0_g1	PP2B_NEUCR^PP2B_NEUCR^Q:659-3,H:5-223^78.995%ID^E:1.25e-129^RecName: Full=Serine/threonine-protein phosphatase 2B catalytic subunit;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN524_c0_g1	.
TRINITY_DN556_c0_g1	TAP_STRCO^TAP_STRCO^Q:19-186,H:220-275^48.214%ID^E:7.66e-09^RecName: Full=Tripeptidyl aminopeptidase {ECO:0000250|UniProtKB:Q54410};^Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
TRINITY_DN500_c0_g1	.
TRINITY_DN509_c0_g1	SCH9_YEAST^SCH9_YEAST^Q:254-1912,H:176-758^54.591%ID^E:0^RecName: Full=Serine/threonine-protein kinase SCH9;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN42817_c0_g1	PLPHP_MOUSE^PLPHP_MOUSE^Q:25-705,H:16-252^54.959%ID^E:4.54e-73^RecName: Full=Pyridoxal phosphate homeostasis protein {ECO:0000255|HAMAP-Rule:MF_03225};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus
TRINITY_DN42888_c0_g1	.
TRINITY_DN42801_c0_g1	SPT16_NEUCR^SPT16_NEUCR^Q:817-2,H:314-584^58.456%ID^E:1.63e-101^RecName: Full=FACT complex subunit ctc-2;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN42865_c0_g1	.
TRINITY_DN34730_c0_g1	PER1_ARAHY^PER1_ARAHY^Q:110-1048,H:4-316^79.233%ID^E:1.27e-177^RecName: Full=Cationic peroxidase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Dalbergieae; Arachis
TRINITY_DN34709_c0_g1	.
TRINITY_DN34790_c0_g1	.
TRINITY_DN69987_c0_g1	YPQ3_YEAST^YPQ3_YEAST^Q:359-51,H:18-115^41.748%ID^E:3.88e-24^RecName: Full=Probable vacuolar amino acid transporter YPQ3;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN47184_c0_g1	.
TRINITY_DN47194_c0_g1	YA14_SCHPO^YA14_SCHPO^Q:366-4,H:5-124^26.446%ID^E:2.33e-11^RecName: Full=Putative glutamine amidotransferase-like protein C13C5.04;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN58277_c0_g1	THIK_YARLI^THIK_YARLI^Q:29-577,H:210-391^61.202%ID^E:1.07e-72^RecName: Full=3-ketoacyl-CoA thiolase, peroxisomal;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Dipodascaceae; Yarrowia
TRINITY_DN58232_c0_g1	KAPR_NEUCR^KAPR_NEUCR^Q:657-133,H:195-370^78.409%ID^E:5.56e-95^RecName: Full=cAMP-dependent protein kinase regulatory subunit;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora`KAPR_NEUCR^KAPR_NEUCR^Q:462-160,H:129-241^34.513%ID^E:7.19e-09^RecName: Full=cAMP-dependent protein kinase regulatory subunit;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN58264_c0_g1	TOM1_ASHGO^TOM1_ASHGO^Q:271-17,H:2319-2398^43.529%ID^E:5.89e-12^RecName: Full=Probable E3 ubiquitin-protein ligase TOM1;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Eremothecium
TRINITY_DN3019_c0_g1	.
TRINITY_DN37444_c0_g1	.
TRINITY_DN29103_c0_g1	YGV8_SCHPO^YGV8_SCHPO^Q:1-438,H:610-746^34.667%ID^E:1.04e-14^RecName: Full=Uncharacterized protein C354.08c;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN25138_c3_g4	ERF5_TOBAC^ERF5_TOBAC^Q:17-361,H:163-273^51.24%ID^E:7.37e-30^RecName: Full=Ethylene-responsive transcription factor 5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN25186_c0_g1	.
TRINITY_DN25196_c5_g5	TIP11_ARATH^TIP11_ARATH^Q:323-3,H:1-107^86.916%ID^E:7.07e-60^RecName: Full=Aquaporin TIP1-1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25141_c0_g1	4CL1_TOBAC^4CL1_TOBAC^Q:674-282,H:417-547^80.916%ID^E:3.27e-71^RecName: Full=4-coumarate--CoA ligase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN25105_c0_g2	.
TRINITY_DN25105_c0_g3	.
TRINITY_DN25105_c0_g3	.
TRINITY_DN25105_c0_g4	.
TRINITY_DN25105_c0_g5	.
TRINITY_DN25105_c0_g6	.
TRINITY_DN25111_c0_g1	PMA1_AJECA^PMA1_AJECA^Q:140-9,H:217-260^50%ID^E:1.18e-07^RecName: Full=Plasma membrane ATPase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Histoplasma
TRINITY_DN25111_c0_g2	.
TRINITY_DN25111_c0_g6	PMA1_NEUCR^PMA1_NEUCR^Q:169-5,H:75-129^49.091%ID^E:1.52e-13^RecName: Full=Plasma membrane ATPase;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN25111_c0_g7	.
